en,file,file-name,gen,id,length,sp
Greylag Goose,https://xeno-canto.org/694723/download,XC694723-211219_1021.mp3,Anser,694723,0:41,anser
Mute Swan,https://xeno-canto.org/798666/download,XC798666-230226-124234CisneMudo.mp3,Cygnus,798666,0:17,olor
Mute Swan,https://xeno-canto.org/798664/download,XC798664-230226-123347CisneMudo.mp3,Cygnus,798664,0:06,olor
Mute Swan,https://xeno-canto.org/798663/download,XC798663-230226-123347CisneMudo.mp3,Cygnus,798663,0:06,olor
Egyptian Goose,https://xeno-canto.org/645357/download,XC645357-210417_0489.mp3,Alopochen,645357,1:07,aegyptiaca
Egyptian Goose,https://xeno-canto.org/798660/download,XC798660-230226-122742GansoEgipto.mp3,Alopochen,798660,0:08,aegyptiaca
Egyptian Goose,https://xeno-canto.org/798659/download,XC798659-230226-122051GansoEgipto.mp3,Alopochen,798659,0:01,aegyptiaca
Egyptian Goose,https://xeno-canto.org/798658/download,XC798658-230226-121106GansoEgipto.mp3,Alopochen,798658,0:03,aegyptiaca
Common Shelduck,https://xeno-canto.org/718385/download,XC718385-Tadorna tadorna_courtship calls + agressive calls_24_04_22_Fuseta Oeste (online-audio-converter.com).mp3,Tadorna,718385,0:26,tadorna
Common Shelduck,https://xeno-canto.org/713146/download,XC713146-220326-184355tadorna.mp3,Tadorna,713146,0:52,tadorna
Common Shelduck,https://xeno-canto.org/713145/download,XC713145-220326-184327tadorna.mp3,Tadorna,713145,0:05,tadorna
Common Shelduck,https://xeno-canto.org/698664/download,XC698664-220124-171600tadorna.mp3,Tadorna,698664,0:17,tadorna
Common Shelduck,https://xeno-canto.org/551727/download,XC551727-20200426_172400tadorna.mp3,Tadorna,551727,1:00,tadorna
Common Shelduck,https://xeno-canto.org/551518/download,XC551518-200422-193313tadorna.mp3,Tadorna,551518,0:08,tadorna
Common Shelduck,https://xeno-canto.org/540599/download,XC540599-200309-182448tadorna.mp3,Tadorna,540599,0:14,tadorna
Common Shelduck,https://xeno-canto.org/600004/download,XC600004-Tadorna tadorna.mp3,Tadorna,600004,0:05,tadorna
Garganey,https://xeno-canto.org/279683/download,XC279683-Ana quer_20150314_Campo_Alvega_PCM-M10_ME66_obser.mp3,Spatula,279683,1:41,querquedula
Northern Shoveler,https://xeno-canto.org/702315/download,XC702315-220211-181314patocolhereiro.mp3,Spatula,702315,0:04,clypeata
Northern Shoveler,https://xeno-canto.org/798688/download,XC798688-230228-173935PatoColhereiro.mp3,Spatula,798688,0:03,clypeata
Northern Shoveler,https://xeno-canto.org/788409/download,XC788409-Spa.cly.1_Barragem-dos-Fartos.wav,Spatula,788409,0:15,clypeata
Northern Shoveler,https://xeno-canto.org/770693/download,"XC770693-Northern-Shoveler,-calls,-221221-035.wav",Spatula,770693,0:19,clypeata
Northern Shoveler,https://xeno-canto.org/788410/download,XC788410-Spa.cly.2_Barragem-dos-Fartos.wav,Spatula,788410,0:12,clypeata
Northern Shoveler,https://xeno-canto.org/455574/download,XC455574-2019.02.02_11.52_01.mp3,Spatula,455574,0:02,clypeata
Gadwall,https://xeno-canto.org/433161/download,XC433161-Anas strepera_2018.08.20_12.38_01_Quinta-do_lago.mp3,Mareca,433161,1:18,strepera
Gadwall,https://xeno-canto.org/784999/download,XC784999-230123-182406Frisada.wav,Mareca,784999,0:27,strepera
Gadwall,https://xeno-canto.org/784998/download,XC784998-230123-182253Frisada.wav,Mareca,784998,0:12,strepera
Gadwall,https://xeno-canto.org/784997/download,XC784997-230123-182204Frisada.wav,Mareca,784997,0:11,strepera
Gadwall,https://xeno-canto.org/776587/download,XC776587-230118-173853Frisada.wav,Mareca,776587,0:18,strepera
Gadwall,https://xeno-canto.org/713128/download,XC713128-220325-180422frisafa.mp3,Mareca,713128,0:53,strepera
Gadwall,https://xeno-canto.org/713126/download,XC713126-220325-180237frisada.mp3,Mareca,713126,1:08,strepera
Gadwall,https://xeno-canto.org/702301/download,XC702301-220211-180825frisada.mp3,Mareca,702301,0:25,strepera
Gadwall,https://xeno-canto.org/699734/download,XC699734-220128-181718frisada.mp3,Mareca,699734,0:50,strepera
Gadwall,https://xeno-canto.org/645390/download,XC645390-210417_0539.mp3,Mareca,645390,1:38,strepera
Gadwall,https://xeno-canto.org/628401/download,XC628401-210304-061542frisada.mp3,Mareca,628401,0:39,strepera
Gadwall,https://xeno-canto.org/628399/download,XC628399-210304-060722frisada.mp3,Mareca,628399,0:45,strepera
Gadwall,https://xeno-canto.org/554099/download,XC554099-200503-202127frisada.mp3,Mareca,554099,0:13,strepera
Gadwall,https://xeno-canto.org/508338/download,XC508338-191113-170935frisada.mp3,Mareca,508338,0:02,strepera
Gadwall,https://xeno-canto.org/508332/download,XC508332-191113-170700frisada.mp3,Mareca,508332,0:08,strepera
Gadwall,https://xeno-canto.org/474377/download,XC474377-190504-121702frisada.mp3,Mareca,474377,0:02,strepera
Gadwall,https://xeno-canto.org/474376/download,XC474376-190504-121640frisada.mp3,Mareca,474376,0:03,strepera
Gadwall,https://xeno-canto.org/474375/download,XC474375-190504-121507frisada.mp3,Mareca,474375,0:01,strepera
Gadwall,https://xeno-canto.org/313573/download,"XC313573-Gadwall, 20.04., call.mp3",Mareca,313573,0:04,strepera
Gadwall,https://xeno-canto.org/788315/download,XC788315-Mar.str.1_Lagoa-da-Estacada.wav,Mareca,788315,0:22,strepera
Gadwall,https://xeno-canto.org/551706/download,XC551706-200424-221032id.mp3,Mareca,551706,0:04,strepera
Gadwall,https://xeno-canto.org/433000/download,XC433000-0541AnaStr.mp3,Mareca,433000,0:11,strepera
Eurasian Wigeon,https://xeno-canto.org/694724/download,XC694724-211219_1023.mp3,Mareca,694724,0:18,penelope
Eurasian Wigeon,https://xeno-canto.org/756083/download,XC756083-220930-103734Piadeira.wav,Mareca,756083,0:07,penelope
Mallard,https://xeno-canto.org/767559/download,XC767559-Anas-platyrhynchos_022.12.10_13.02_01.mp3,Anas,767559,0:11,platyrhynchos
Mallard,https://xeno-canto.org/767555/download,XC767555-Anas-platyrhynchos_2022.12.09_17.54_01.mp3,Anas,767555,0:14,platyrhynchos
Mallard,https://xeno-canto.org/764027/download,XC764027-Anas-platyrhynchos_2022.11.25_17.38_01.mp3,Anas,764027,0:10,platyrhynchos
Mallard,https://xeno-canto.org/742130/download,XC742130-Anas platyrhynchos _2022.08.09_07.16_01.MP3,Anas,742130,0:16,platyrhynchos
Mallard,https://xeno-canto.org/710476/download,XC710476-220316-164119patoreal.mp3,Anas,710476,1:47,platyrhynchos
Mallard,https://xeno-canto.org/702321/download,XC702321-220211-182029patoreal.mp3,Anas,702321,2:20,platyrhynchos
Mallard,https://xeno-canto.org/702318/download,XC702318-220211-181605patoreal.mp3,Anas,702318,0:22,platyrhynchos
Mallard,https://xeno-canto.org/702270/download,XC702270-220210-180656patoreal.mp3,Anas,702270,0:16,platyrhynchos
Mallard,https://xeno-canto.org/702268/download,XC702268-220210-180426patoreal.mp3,Anas,702268,0:18,platyrhynchos
Mallard,https://xeno-canto.org/702265/download,XC702265-220210-173937patoreal.mp3,Anas,702265,0:02,platyrhynchos
Mallard,https://xeno-canto.org/699240/download,XC699240-2022.01.28_17.29_02.mp3,Anas,699240,0:10,platyrhynchos
